Delivery_person_Age,Delivery_person_Ratings,distance
33,4.6,6.21785141201631
24,4.5,10.586910515510716
30,4.8,9.435201537430713
23,4.9,4.537653689675302
36,4.1,13.97203602578282
26,3.7,4.6105980334864025
32,4.7,12.209868226123518
31,3.8,13.763778584950824
34,4.5,4.537653689675302
29,4.8,9.088013799330726
20,5.0,4.657133018843544
24,5.0,1.529751878579701
38,4.4,1.558114851290099
39,4.6,1.558124432225945
34,4.7,4.6104717430467055
39,4.5,9.326359385740089
28,4.6,19.47125757951702
28,4.8,17.076725433736108
35,4.6,6.050103074349287
34,4.1,9.220550607824642
29,4.6,1.5581322655562495
26,4.7,19.97574121625775
32,4.8,10.90614936096952
26,4.9,19.976644021153277
26,4.1,3.1047859175292585
33,4.3,12.073551890748876
37,4.7,4.663545220953049
35,4.6,1.4899271643867569
26,4.7,12.29367767357356
30,4.5,1.5093577696342253
39,4.9,19.08939857350664
32,4.8,1.5725337292863206
39,4.9,10.587819003215166
31,5.0,3.1051449132267224
33,4.8,16.634890709262812
23,4.7,6.208681984040334
37,4.6,6.050551152463514
30,4.8,14.15280068944862
26,5.0,19.97462742500754
30,4.5,3.1161407812913753
38,4.1,10.587732954177016
26,4.5,7.761498257466512
30,4.4,1.5323350156093771
38,4.7,1.514786139865219
33,4.5,2.979626144829874
29,4.7,16.903142341180338
20,5.0,12.463970105024178
25,4.5,6.290134677634678
29,4.6,19.975152579495987
20,4.7,13.970572124439329
21,4.7,16.824772113251285
36,4.1,12.25607644546856
22,5.0,13.682164847733418
24,5.0,19.61782456145108
29,4.5,9.05460222816931
27,4.9,20.286876645336417
29,4.6,16.476296407981938
23,4.9,7.4610873930933135
35,4.5,12.238686345325087
21,4.4,20.44292976252901
33,4.9,14.15280068944862
38,4.3,7.325558747690208
26,4.7,10.564409665969912
30,4.8,6.210607623189759
38,4.4,16.38435115645366
20,4.5,9.055898607911567
39,4.0,9.075228438646684
33,4.7,13.682044526080338
25,4.3,16.903142341180338
20,4.8,16.902909983696322
37,4.6,10.90641450035058
32,4.1,17.139219742258962
30,4.5,9.435201537430713
30,4.3,6.118630884411828
30,3.8,12.161642370388376
29,4.9,4.560783589287882
24,4.7,6.049956259947208
38,4.8,16.721157280760078
20,4.1,2.937443361922226
29,4.6,13.40365433387026
26,4.5,6.210098947886211
35,4.9,1.5725337292863206
36,5.0,6.080891507841841
36,4.7,20.44292976252901
28,5.0,20.205786629218224
32,4.6,13.681485556891031
20,4.6,9.074331008325888
32,4.7,9.087980108212871
31,3.9,16.635315203255878
26,5.0,10.868244074540764
28,4.9,1.5725337292863206
33,4.7,3.108925571154758
38,4.1,9.056672984546305
29,4.9,14.15280068944862
29,5.0,19.97574121625775
20,2.6,12.161615481620156
23,4.9,1.5367158933397187
38,4.7,13.98953215730711
32,4.6,13.581198240268998
35,3.7,16.984098986960767
29,4.6,1.560642081811916
33,4.9,4.464766878776821
27,2.7,17.29786575291325
39,4.1,6.0500849919957504
21,4.3,10.865584127340671
26,4.8,5.958965689666703
33,4.7,7.790158927085036
23,4.6,13.63133954829994
28,4.7,10.642283429606556
37,4.8,19.36274047125199
34,4.9,12.074056378231456
31,3.5,11.74898007021338
35,4.7,1.4901538808202175
26,4.5,12.484945384051937
34,5.0,3.018826787154069
34,5.0,9.31399060766836
35,4.6,17.13749142638868
29,4.7,7.683765443179538
22,4.6,4.6105980334864025
29,4.6,6.1163872292651495
50,6.0,18098.786773817235
30,4.9,20.182728114833115
34,4.9,4.588321086013785
34,3.8,19.66131020445878
37,4.6,16.901690663165507
36,3.9,19.839554782256076
32,4.7,19.47203327785382
33,4.9,3.116288055541825
25,4.8,1.5545625412411683
39,4.1,10.683783113047944
34,4.9,3.0735433636637217
35,5.0,6.242081559530351
26,4.8,10.757554773158116
21,4.9,9.121136119359262
24,4.8,4.560964950803957
34,4.1,19.760091519674855
26,4.5,1.5094402621801488
36,4.7,9.349055143285232
26,4.9,6.1756362610176
26,4.5,7.772096240718677
20,4.9,19.97591692313584
26,4.7,19.880040740546313
30,4.8,17.077949437324254
26,4.9,12.293290453034048
28,4.9,5.958965689666703
26,4.6,3.0251492856773803
24,4.7,9.075344501962311
37,4.9,3.061134013686154
37,4.5,6.2178836475587875
31,4.8,19.976027554946768
24,4.8,8.940047176803803
38,4.7,7.762556904358387
29,4.6,4.5282365974492125
23,4.6,1.554514382187431
33,4.1,3.0735433636637217
26,4.8,13.972123977178397
27,4.5,1.554499492178499
29,4.8,13.907355216214563
26,4.8,1.5101916067115402
29,3.5,16.600966466271768
24,4.2,17.29786575291325
31,5.0,12.421212735966272
22,4.8,13.680927409308628
20,4.5,6.290134677634678
23,4.6,10.881197531247286
24,3.4,12.116848260956994
39,4.9,19.36269866793402
37,4.7,12.074047498027545
28,5.0,6.127848457033905
31,4.5,13.830053479838757
